contestant;age;location;season;miss-congeniality;casting-special;design;girl-groups;improv;improv-2;runway;choreo;advert;advert-2;makeover;singing;singing-2;rusical;rusical-2;acting;snatch-game;design-2;design-3;stand-up;talent-show;acting-2;main-ball;ball-2;chapter-ball-recap;music-video;Lip Sync;rumix;finale
"Sapphira Cristál
(Group 1)";34;"Philadelphia,
PA";16;0;N/A;SAFE;"SAFE

TeamCaptain";N/A;N/A;N/A;N/A;"HIGH 


MiniChall.Winner";N/A;BTM2;N/A;N/A;HIGH;N/A;SAFE;HIGH;HIGH;WIN;"WIN


MiniChall.Winner";"WIN


MiniChall.Winner";N/A;HIGH;N/A;N/A;N/A;RUN;WIN;WINNER
"Plane Jane
(Group 2)";24;"Boston,
MA";16;0;N/A;HIGH;SAFE;N/A;N/A;N/A;N/A;BTM2;N/A;WIN;N/A;N/A;SAFE;N/A;HIGH;WIN;HIGH;"WIN


MiniChall.Winner";SAFE;;N/A;SAFE;N/A;N/A;N/A;RUN;LOW;MISSCON+RUNNERUP
"Q
(Group 1)";26;"Kansas City,
MO";16;0;N/A;WIN;BTM2;N/A;N/A;N/A;N/A;ELIM;N/A;HIGH;N/A;N/A;HIGH;N/A;HIGH;SAFE;WIN;LOW;SAFE;TOP2;N/A;HIGH;N/A;N/A;N/A;LOST1STROUND;LOW;ELIM
"Morphine Love Dion
(Group 1)";25;"Miami,
FL";16;0;N/A;SAFE;SAFE;N/A;N/A;N/A;N/A;;N/A;ELIM;N/A;N/A;LOW;N/A;SAFE;BTM2;LOW;BTM2;BTM2;SAFE;N/A;SAFE;N/A;N/A;N/A;WINNER;TOP2;GUEST
"Dawn
(Group 1)";24;"Brooklyn,
NY";16;0;N/A;HIGH;SAFE;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;SAFE;N/A;SAFE;SAFE;HIGH;ELIM;LOW;SAFE;N/A;SAFE;N/A;N/A;N/A;LOST1STROUND;HIGH;GUEST
"Mhi'ya Iman Le'Paige
(Group 2)";34;"Miami,
FL";16;0;N/A;BTM2;WIN;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;BTM2;N/A;LOW;HIGH;BTM2;;ELIM;;N/A;LOW;N/A;N/A;N/A;LOST3RDROUND;HIGH;GUEST
"Plasma
(Group 2)";24;"New York,
NY";16;0;N/A;LOW;"SAFE

TeamCaptain";N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;WIN;N/A;WIN;SAFE;ELIM;;;;N/A;SAFE;N/A;N/A;N/A;LOST1STROUND;;GUEST
"Xunami Muse
(Group 1)";33;"New York,
NY";16;1;N/A;"SAFE


MiniChall.Winner";SAFE;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;SAFE;N/A;SAFE;"ELIM


MiniChall.Winner";;;;SAFE;N/A;SAFE;N/A;N/A;N/A;LOST1STROUND;;GUEST
"Megami
(Group 2)";33;"Brooklyn,
NY";16;0;N/A;SAFE;WIN;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;ELIM;N/A;SAFE;;;;;;N/A;SAFE;N/A;N/A;N/A;LOST4THROUND;;MISSCON
"Geneva Karr
(Group 2)";30;"Brownsville,
TX";16;0;N/A;ELIM;"WIN

TeamCaptain";N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;BTM2;;;;;;N/A;BTM2;N/A;N/A;N/A;LOST1STROUND;;GUEST
"Amanda Tori Meating
(Group 1)";26;"Los Angeles,
CA";16;0;N/A;;ELIM;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;SAFE;;;;;SAFE;N/A;SAFE;N/A;N/A;N/A;LOST2NDROUND;;GUEST
"Mirage
(Group 1)";26;"Las Vegas,
NV";16;0;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;ELIM;;;;;SAFE;N/A;SAFE;N/A;N/A;N/A;LOST2NDROUND;;GUEST
"Hershii LiqCour-Jeté
(Group 2)";31;"Los Angeles,
CA";16;0;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;;N/A;;;;;;;N/A;ELIM;N/A;N/A;N/A;LOST1STROUND;;GUEST
"Onya Nurve
(Group 2)";31;"Cleveland,
OH";17;0;N/A;HIGH;N/A;N/A;N/A;N/A;N/A;HIGH;N/A;"BTM2


MiniChall.Winner";WIN;N/A;HIGH;N/A;HIGH;WIN;LOW;N/A;WIN;RUN;WIN;"SAFE


MiniChall.Winner";N/A;N/A;N/A;RUN;N/A;GUEST
"Jewels Sparkles
(Group 1)";22;"Tampa,
FL";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;WIN;N/A;BTM2;SAFE;N/A;HIGH;N/A;SAFE;HIGH;WIN;N/A;"SAFE


MiniChall.Winner";TOP2;LOW;SAFE;N/A;N/A;N/A;RUN;N/A;RUNNERUP
"Lexi Love
(Group 2)";33;"Louisville,
KY";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;HIGH;N/A;LOW;SAFE;N/A;SAFE;N/A;SAFE;HIGH;HIGH;N/A;WIN;RUN;HIGH;"SAFE


MiniChall.Winner";N/A;N/A;N/A;RUN;N/A;ELIM
"Sam Star
(Group 2)";24;"Leeds,
AL";17;0;N/A;WIN;N/A;N/A;N/A;N/A;N/A;BTM2;N/A;WIN;SAFE;N/A;WIN;N/A;LOW;HIGH;SAFE;N/A;BTM2;RUN;HIGH;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;RUN;N/A;ELIM
"Suzie Toot
(Group 1)";24;"Fort Lauderdale,
FL";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;ELIM;N/A;HIGH;HIGH;N/A;HIGH;N/A;WIN;SAFE;"SAFE


MiniChall.Winner";N/A;SAFE;WIN;HIGH;"SAFE


MiniChall.Winner";N/A;N/A;N/A;WINNER;N/A;GUEST
"Lana Ja'Rae
(Group 2)";22;"New York,
NY";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;SAFE;N/A;SAFE;N/A;SAFE;BTM2;SAFE;N/A;ELIM;"RUN


MiniChall.Winner";BTM2;BTM2;N/A;N/A;N/A;LOST2NDROUND;N/A;GUEST
"Lydia B Kollins
(Group 1)";23;"Pittsburgh,
PA";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;SAFE;N/A;SAFE;N/A;BTM2;SAFE;BTM2;N/A;;SAFE;ELIM;"SAFE


MiniChall.Winner";N/A;N/A;N/A;LOST2NDROUND;N/A;GUEST
"Arrietty
(Group 1)";27;"Seattle,
WA";17;0;N/A;HIGH;N/A;N/A;N/A;N/A;N/A;;N/A;;LOW;N/A;SAFE;N/A;BTM2;LOW;HIGH;N/A;;SAFE;;WIN;N/A;N/A;N/A;LOST1STROUND;N/A;GUEST
"Kori King
(Group 2)";24;"Boston,
MA";17;0;N/A;LOW;N/A;N/A;N/A;N/A;N/A;;N/A;;BTM2;N/A;BTM2;N/A;SAFE;SAFE;ELIM;N/A;;RUN;;SAFE;N/A;N/A;N/A;LOST3RDROUND;N/A;GUEST
"Acacia Forgot
(Group 1)";27;"Los Angeles,
CA";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;SAFE;N/A;ELIM;N/A;SAFE;SAFE;;N/A;;BTM2;;"LOW 


MiniChall.Winner";N/A;N/A;N/A;LOST1STROUND;N/A;GUEST
"Crystal Envy
(Group 2)";26;"Asbury Park,
NJ";17;1;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;HIGH;N/A;;N/A;SAFE;ELIM;;N/A;;RUN;;HIGH;N/A;N/A;N/A;LOST1STROUND;N/A;MISSCON
"Hormona Lisa
(Group 2)";30;"Chattanooga,
TN";17;0;N/A;SAFE;N/A;N/A;N/A;N/A;N/A;;N/A;;SAFE;N/A;;N/A;HIGH;;;N/A;;RUN;;ELIM;N/A;N/A;N/A;LOST1STROUND;N/A;GUEST
"Joella
(Group 1)";24;"Los Angeles,
CA";17;0;N/A;BTM2;N/A;N/A;N/A;N/A;N/A;;N/A;;ELIM;N/A;;N/A;;;;N/A;;SAFE;;;N/A;N/A;N/A;LOST1STROUND;N/A;GUEST
"Lucky Starzzz
(Group 1)";28;"Miami,
FL";17;0;N/A;ELIM;N/A;N/A;N/A;N/A;N/A;;N/A;;;N/A;;N/A;;;;N/A;;SAFE;;;N/A;N/A;N/A;LOST2NDROUND;N/A;GUEST
